accession	strain	virus	date	region	country	division	city	db	segment	authors	url	title	journal	paper_url	genbank_accession_rev	updated	ambiguous_strain_names	notes
OL423653	GO24	zika	2016-04-01	South America	Brazil	Goais	Goiania	genbank	genome	Giovanetti et al	https://www.ncbi.nlm.nih.gov/nuccore/OL423653	Direct Submission	" Avenida Brasil, Fundacao Oswaldo Cruz, Rio de Janeiro 21040360, Brazil, Rio de Janeiro,Submitted (09-NOV-2021) Laboratorio de Flavivirus, 4365"		OL423653.1	2021-12-25		
OL423652	GO25	zika	2016-03-31	South America	Brazil	Goais	Goiania	genbank	genome	Giovanetti et al	https://www.ncbi.nlm.nih.gov/nuccore/OL423652	Direct Submission	" Avenida Brasil, Fundacao Oswaldo Cruz, Rio de Janeiro 21040360, Brazil, Rio de Janeiro,Submitted (09-NOV-2021) Laboratorio de Flavivirus, 4365"		OL423652.1	2021-12-25		
OL423654	GO28	zika	2016-04-24	South America	Brazil	Goais	Goiania	genbank	genome	Giovanetti et al	https://www.ncbi.nlm.nih.gov/nuccore/OL423654	Direct Submission	" Avenida Brasil, Fundacao Oswaldo Cruz, Rio de Janeiro 21040360, Brazil, Rio de Janeiro,Submitted (09-NOV-2021) Laboratorio de Flavivirus, 4365"		OL423654.1	2021-12-25		
OL423669	GO30	zika	2016-02-22	South America	Brazil	Goais	Goiania	genbank	genome	Giovanetti et al	https://www.ncbi.nlm.nih.gov/nuccore/OL423669	Direct Submission	" Avenida Brasil, Fundacao Oswaldo Cruz, Rio de Janeiro 21040360, Brazil, Rio de Janeiro,Submitted (09-NOV-2021) Laboratorio de Flavivirus, 4365"		OL423669.1	2021-12-25		
OL423655	GO31	zika	2016-02-22	South America	Brazil	Goais	Goiania	genbank	genome	Giovanetti et al	https://www.ncbi.nlm.nih.gov/nuccore/OL423655	Direct Submission	" Avenida Brasil, Fundacao Oswaldo Cruz, Rio de Janeiro 21040360, Brazil, Rio de Janeiro,Submitted (09-NOV-2021) Laboratorio de Flavivirus, 4365"		OL423655.1	2021-12-25		
OL423656	GO36	zika	2017-06-01	South America	Brazil	Goais	Inhumas	genbank	genome	Giovanetti et al	https://www.ncbi.nlm.nih.gov/nuccore/OL423656	Direct Submission	" Avenida Brasil, Fundacao Oswaldo Cruz, Rio de Janeiro 21040360, Brazil, Rio de Janeiro,Submitted (09-NOV-2021) Laboratorio de Flavivirus, 4365"		OL423656.1	2021-12-25		
OL423658	GO38	zika	2017-11-23	South America	Brazil	Goais	Aparecida de Goiania	genbank	genome	Giovanetti et al	https://www.ncbi.nlm.nih.gov/nuccore/OL423658	Direct Submission	" Avenida Brasil, Fundacao Oswaldo Cruz, Rio de Janeiro 21040360, Brazil, Rio de Janeiro,Submitted (09-NOV-2021) Laboratorio de Flavivirus, 4365"		OL423658.1	2021-12-25		
OL423659	GO39	zika	2017-12-07	South America	Brazil	Goais	Aparecida de Goiania	genbank	genome	Giovanetti et al	https://www.ncbi.nlm.nih.gov/nuccore/OL423659	Direct Submission	" Avenida Brasil, Fundacao Oswaldo Cruz, Rio de Janeiro 21040360, Brazil, Rio de Janeiro,Submitted (09-NOV-2021) Laboratorio de Flavivirus, 4365"		OL423659.1	2021-12-25		
OL423657	GO43	zika	2017-06-30	South America	Brazil	Goais	Aparecida de Goiania	genbank	genome	Giovanetti et al	https://www.ncbi.nlm.nih.gov/nuccore/OL423657	Direct Submission	" Avenida Brasil, Fundacao Oswaldo Cruz, Rio de Janeiro 21040360, Brazil, Rio de Janeiro,Submitted (09-NOV-2021) Laboratorio de Flavivirus, 4365"		OL423657.1	2021-12-25		
OL423660	GO50	zika	2017-01-02	South America	Brazil	Goais	Goiania	genbank	genome	Giovanetti et al	https://www.ncbi.nlm.nih.gov/nuccore/OL423660	Direct Submission	" Avenida Brasil, Fundacao Oswaldo Cruz, Rio de Janeiro 21040360, Brazil, Rio de Janeiro,Submitted (09-NOV-2021) Laboratorio de Flavivirus, 4365"		OL423660.1	2021-12-25		
OL423661	GO52	zika	2017-01-20	South America	Brazil	Goais	Goiania	genbank	genome	Giovanetti et al	https://www.ncbi.nlm.nih.gov/nuccore/OL423661	Direct Submission	" Avenida Brasil, Fundacao Oswaldo Cruz, Rio de Janeiro 21040360, Brazil, Rio de Janeiro,Submitted (09-NOV-2021) Laboratorio de Flavivirus, 4365"		OL423661.1	2021-12-25		
